Arquivo;Reuniao;Data (AAAA/MM);Tema_Classificado;Ocorrencias;Relevancia_(%);Palavras_Chave_Ativadas;Trecho_Prova_(Auditoria)
01_2013_Pleno_ordin_ata.pdf;1ª Reunião Ordinária;2013;Composição e Governança do Conselho;13;40.6;conselheiro, conselho, eleic, regimento interno;1ª Reunião do Conselho Municipal de Transporte e Trânsito - CMTT São Paulo - 02/08/2013 Auditório da Biblioteca Mario de Andrade Rua da Consolação, 94 – Centro – São Paulo Pauta  Apresentação e posse dos conselheiros  Apresentação dos Custos do Sistema de Transporte Coletivo Municipal de São Paulo  Debate  Encaminhamentos: - Elaboração de proposta da Eleição dos representantes da sociedade civil - Elaboração da Proposta de Regimento Interno - Proposta de Calendário das Reuniões Ordinárias Abertura: Secretário Municipal de Transporte e Presidente do Conselho Municipal de Transporte e Trânsito Jilmar Tatto. [...] Durante abertura o presidente sugeriu que no regimento interno do conselho conste que nas reuniões ordinárias tenha um tempo para palavra livre.
01_2013_Pleno_ordin_ata.pdf;1ª Reunião Ordinária;2013;Transporte Público Coletivo;6;18.8;frota, onibus, sptrans, transporte coletivo;1ª Reunião do Conselho Municipal de Transporte e Trânsito - CMTT São Paulo - 02/08/2013 Auditório da Biblioteca Mario de Andrade Rua da Consolação, 94 – Centro – São Paulo Pauta  Apresentação e posse dos conselheiros  Apresentação dos Custos do Sistema de Transporte Coletivo Municipal de São Paulo  Debate  Encaminhamentos: - Elaboração de proposta da Eleição dos representantes da sociedade civil - Elaboração da Proposta de Regimento Interno - Proposta de Calendário das Reuniões Ordinárias Abertura: Secretário Municipal de Transporte e Presidente do Conselho Municipal de Transporte e Trânsito Jilmar Tatto. [...] Apresentação dos Custos do Sistema de Transporte Coletivo Municipal de São Paulo: Diretor de Gestão Econômica – Financeira da São Paulo Transporte - SPtrans Adauto Farias Informou sobre os contratos do transporte público, com os custos do sistema, o número de passageiros e veículos, a composição dos recursos destinados às empresas.
01_2013_Pleno_ordin_ata.pdf;1ª Reunião Ordinária;2013;Mobilidade Urbana: Organização Geral e Prestação de Contas;3;9.4;custos, tarifa;1ª Reunião do Conselho Municipal de Transporte e Trânsito - CMTT São Paulo - 02/08/2013 Auditório da Biblioteca Mario de Andrade Rua da Consolação, 94 – Centro – São Paulo Pauta  Apresentação e posse dos conselheiros  Apresentação dos Custos do Sistema de Transporte Coletivo Municipal de São Paulo  Debate  Encaminhamentos: - Elaboração de proposta da Eleição dos representantes da sociedade civil - Elaboração da Proposta de Regimento Interno - Proposta de Calendário das Reuniões Ordinárias Abertura: Secretário Municipal de Transporte e Presidente do Conselho Municipal de Transporte e Trânsito Jilmar Tatto. [...] Apresentação dos Custos do Sistema de Transporte Coletivo Municipal de São Paulo: Diretor de Gestão Econômica – Financeira da São Paulo Transporte - SPtrans Adauto Farias Informou sobre os contratos do transporte público, com os custos do sistema, o número de passageiros e veículos, a composição dos recursos destinados às empresas.
01_2013_Pleno_ordin_ata.pdf;1ª Reunião Ordinária;2013;Transporte Individual: Táxis;3;9.4;taxi, taxista;Manoel de Sousa Lima Júnior (Conselheiro) - Sindicato das Empresas de Táxi de frota do Município de São Paulo e Região SETCESP Trans. [...] Nailton Francisco de Souza (Conselheiro) Sindicato dos Motoristas e Trabalhadores em Transporte Rodoviário Urbano de São Paulo - SINDMOTORISTAS: Faz esclarecimentos sobre o importante papel do sindicato e critica a entrada de taxi no corredor.
01_2013_Pleno_ordin_ata.pdf;1ª Reunião Ordinária;2013;Transporte Escolar e Fretamento;2;6.2;escolar;Donay Jacinto Neto (Suplente) Sindicato dos Transportadores Autônomos de Escolares e das Microempresas de SIMETESP: Indica que inclua o Transporte Escolar os projetos de Transporte Coletivo da Cidade. [...] Informa que o Transporte Escolar atende do berçário a universidade.
01_2013_Pleno_ordin_ata.pdf;1ª Reunião Ordinária;2013;Motocicletas e Motofrete;2;6.2;moto;Gerson da Silva Cunha (convidado) – SINDMOTOSP: Questiona sobre o projeto para os motociclistas. [...] Nailton Francisco de Souza (Conselheiro) Sindicato dos Motoristas e Trabalhadores em Transporte Rodoviário Urbano de São Paulo - SINDMOTORISTAS: Faz esclarecimentos sobre o importante papel do sindicato e critica a entrada de taxi no corredor.
02_2013_Pleno_ordin_ata.pdf;2ª Reunião Ordinária;2013;Composição e Governança do Conselho;16;28.6;conselheiro, conselho, eleic;"2ª Reunião do Conselho Municipal de Transporte e Trânsito - CMTT São Paulo - 25/09/2013 Praça das Artes Av. [...] Pauta 8h30 Recepção dos conselheiros e convidados; 8h45 Abertura (com 50% mais um dos conselheiros); 9h00 Abertura (com qualquer número de conselheiros presentes); Apresentação do Secretário Municipal de Desenvolvimento Urbano Sr."
02_2013_Pleno_ordin_ata.pdf;2ª Reunião Ordinária;2013;Mobilidade Urbana: Organização Geral e Prestação de Contas;13;23.2;plano de mobilidade, plano diretor;"Fernando de Mello Franco – Plano Diretor com enfoque na Mobilidade Urbana; 10h30 Apresentação das propostas de Regimento Interno e Eleição da Sociedade Civil – Debate e encaminhamentos; 11h Previsão de Encerramento. [...] Composição da Mesa  Jilmar Tatto – Secretário Municipal de Transporte e Presidente do CMTT  Gilberto de Almeida dos Santos – SINDMOTOSP  Maria José da Silva – CONAM/ FACESP  Denise Mota Dau – Secretaria de Política Para Mulheres  Josias Lech – Secretário Executivo do CMTT Palestra - Plano Diretor com enfoque na Mobilidade Urbana - Secretário Municipal de Desenvolvimento Urbano Sr."
02_2013_Pleno_ordin_ata.pdf;2ª Reunião Ordinária;2013;Transporte Público Coletivo;10;17.9;metro, onibus, sptrans, transporte coletivo;Lurdinha Maria de Lourdes Rodrigues – conselheira titular - SIMETESP: Destaca a importância dos Transportes Escolares como contribuição para melhoria do Trânsito na cidade de São Paulo, solicita que se pense na possibilidade do transporte escolar poder utilizar as Faixas Exclusivas de Ônibus, questiona o livre acesso para parar e estacionar dos Carros Fortes e solicita que na volta às aulas se faça uma ampla campanha para que os pais utilizem o transporte escolar. [...] Maura Augusta Soares de Oliveira – conselheira suplente – CONAM / FACESP: parabeniza pela expansão das Faixas Exclusivas, mas reclama da integração com o metrô que não tem conseguido absorver num tempo mais rápido o embarque tendo em vista que as pessoas estão chegando mais rápido nas estações.
02_2013_Pleno_ordin_ata.pdf;2ª Reunião Ordinária;2013;Estrutura e Organização da Rede Viária;4;7.1;cet, faixa exclusiva, via;Ressalta ainda a importância de se manter a faixa exclusiva de ônibus só para ônibus. [...] Começaremos o Arco Tietê pelo lado norte do Tietê com estrutura de transporte coletivo e também uma hivovia que trata a inovação necessária para uma cidade contemporânea, a região norte que mais carece de emprego e essa via vai poder estruturar economicamente bem como fazer as ligações transversas tão necessárias para romper com a lógica radial da cidade, temos que trabalhar com o conceito de rede.
