Tema_Classificado;Segmento;Vezes_Pautado_Com_Foco;Media_Comparecimento_Historica
Composição e Governança do Conselho;SECRETARIA EXECUTIVA;55;47.9
Composição e Governança do Conselho;SOCIEDADE CIVIL - TEMÁTICOS;55;25.4
Composição e Governança do Conselho;SOCIEDADE CIVIL - REGIONAIS;49;22.7
Composição e Governança do Conselho;ÓRGÃOS MUNICIPAIS;55;14.6
Composição e Governança do Conselho;OPERADORES DO SERVIÇO DE TRANSPORTE;55;11.3
Composição e Governança do Conselho;CONVIDADOS - PODER PÚBLICO;6;8.3
Composição e Governança do Conselho;CONVIDADOS - SETOR EMPRESARIAL;6;8.3
Composição e Governança do Conselho;CONVIDADOS - SOCIEDADE CIVIL;6;5.6
Estrutura e Organização da Rede Viária;SECRETARIA EXECUTIVA;41;50.8
Estrutura e Organização da Rede Viária;SOCIEDADE CIVIL - REGIONAIS;38;21.4
Estrutura e Organização da Rede Viária;SOCIEDADE CIVIL - TEMÁTICOS;41;20.7
Estrutura e Organização da Rede Viária;CONVIDADOS - SETOR EMPRESARIAL;3;16.7
Estrutura e Organização da Rede Viária;ÓRGÃOS MUNICIPAIS;41;13.7
Estrutura e Organização da Rede Viária;CONVIDADOS - SOCIEDADE CIVIL;3;11.1
Estrutura e Organização da Rede Viária;OPERADORES DO SERVIÇO DE TRANSPORTE;41;6.5
Estrutura e Organização da Rede Viária;CONVIDADOS - PODER PÚBLICO;3;0.0
Mobilidade Ativa: Acessibilidade e Pedestres;SECRETARIA EXECUTIVA;24;61.1
Mobilidade Ativa: Acessibilidade e Pedestres;SOCIEDADE CIVIL - TEMÁTICOS;24;21.1
Mobilidade Ativa: Acessibilidade e Pedestres;SOCIEDADE CIVIL - REGIONAIS;24;19.5
Mobilidade Ativa: Acessibilidade e Pedestres;ÓRGÃOS MUNICIPAIS;24;12.0
Mobilidade Ativa: Acessibilidade e Pedestres;OPERADORES DO SERVIÇO DE TRANSPORTE;24;7.6
Mobilidade Ativa: Bicicletas;SECRETARIA EXECUTIVA;25;64.0
Mobilidade Ativa: Bicicletas;SOCIEDADE CIVIL - REGIONAIS;25;26.2
Mobilidade Ativa: Bicicletas;SOCIEDADE CIVIL - TEMÁTICOS;25;25.1
Mobilidade Ativa: Bicicletas;ÓRGÃOS MUNICIPAIS;25;17.5
Mobilidade Ativa: Bicicletas;OPERADORES DO SERVIÇO DE TRANSPORTE;25;10.2
Mobilidade Urbana: Organização Geral e Prestação de Contas;SECRETARIA EXECUTIVA;16;61.5
Mobilidade Urbana: Organização Geral e Prestação de Contas;SOCIEDADE CIVIL - TEMÁTICOS;16;28.6
Mobilidade Urbana: Organização Geral e Prestação de Contas;SOCIEDADE CIVIL - REGIONAIS;14;21.7
Mobilidade Urbana: Organização Geral e Prestação de Contas;ÓRGÃOS MUNICIPAIS;16;17.4
Mobilidade Urbana: Organização Geral e Prestação de Contas;CONVIDADOS - SOCIEDADE CIVIL;2;16.6
Mobilidade Urbana: Organização Geral e Prestação de Contas;CONVIDADOS - PODER PÚBLICO;2;12.5
Mobilidade Urbana: Organização Geral e Prestação de Contas;OPERADORES DO SERVIÇO DE TRANSPORTE;16;9.4
Mobilidade Urbana: Organização Geral e Prestação de Contas;CONVIDADOS - SETOR EMPRESARIAL;2;0.0
Motocicletas e Motofrete;SECRETARIA EXECUTIVA;8;62.5
Motocicletas e Motofrete;SOCIEDADE CIVIL - TEMÁTICOS;8;35.6
Motocicletas e Motofrete;SOCIEDADE CIVIL - REGIONAIS;8;27.4
Motocicletas e Motofrete;ÓRGÃOS MUNICIPAIS;8;19.5
Motocicletas e Motofrete;OPERADORES DO SERVIÇO DE TRANSPORTE;8;10.3
Segurança Viária;SECRETARIA EXECUTIVA;21;54.0
Segurança Viária;SOCIEDADE CIVIL - TEMÁTICOS;21;27.7
Segurança Viária;SOCIEDADE CIVIL - REGIONAIS;21;20.5
