Ano;Tema_Classificado;Ocorrencias_Totais;Relevancia_Media_Anual;Qtd_Reunioes_Apareceu;Total_Reunioes_Ano;%_Presenca_nas_Reunioes
2013;Composição e Governança do Conselho;48;26.4;4;4;100.0
2013;Estrutura e Organização da Rede Viária;25;15.2;3;4;75.0
2013;Mobilidade Ativa: Acessibilidade e Pedestres;4;8.2;1;4;25.0
2013;Mobilidade Urbana: Organização Geral e Prestação de Contas;28;13.9;4;4;100.0
2013;Motocicletas e Motofrete;2;6.2;1;4;25.0
2013;Segurança Viária;7;6.2;2;4;50.0
2013;Transporte Escolar e Fretamento;2;6.2;1;4;25.0
2013;Transporte Individual: Táxis;13;9.0;3;4;75.0
2013;Transporte Público Coletivo;42;21.6;4;4;100.0
2014;Composição e Governança do Conselho;74;16.2;6;6;100.0
2014;Estrutura e Organização da Rede Viária;87;15.1;6;6;100.0
2014;Mobilidade Ativa: Acessibilidade e Pedestres;37;8.9;5;6;83.3
2014;Mobilidade Ativa: Bicicletas;93;29.1;3;6;50.0
2014;Mobilidade Urbana: Organização Geral e Prestação de Contas;13;8.0;3;6;50.0
2014;Motocicletas e Motofrete;3;5.7;1;6;16.7
2014;Segurança Viária;36;9.0;4;6;66.7
2014;Transporte Escolar e Fretamento;11;9.6;2;6;33.3
2014;Transporte Individual: Táxis;29;14.4;2;6;33.3
2014;Transporte Público Coletivo;92;18.9;6;6;100.0
2015;Composição e Governança do Conselho;33;11.2;6;6;100.0
2015;Estrutura e Organização da Rede Viária;38;13.2;5;6;83.3
2015;Mobilidade Ativa: Acessibilidade e Pedestres;48;19.3;4;6;66.7
2015;Mobilidade Ativa: Bicicletas;19;14.7;3;6;50.0
2015;Mobilidade Urbana: Organização Geral e Prestação de Contas;11;8.0;3;6;50.0
2015;Motocicletas e Motofrete;10;9.2;2;6;33.3
2015;Segurança Viária;28;15.7;3;6;50.0
2015;Transporte Escolar e Fretamento;18;13.5;3;6;50.0
2015;Transporte Individual: Táxis;8;34.8;1;6;16.7
2015;Transporte Público Coletivo;48;25.9;4;6;66.7
2016;Composição e Governança do Conselho;66;42.3;5;5;100.0
2016;Estrutura e Organização da Rede Viária;7;9.4;2;5;40.0
2016;Logística Urbana e Transporte de Cargas;2;9.5;1;5;20.0
2016;Mobilidade Ativa: Acessibilidade e Pedestres;7;13.2;1;5;20.0
2016;Mobilidade Ativa: Bicicletas;12;18.8;3;5;60.0
2016;Motocicletas e Motofrete;2;9.5;1;5;20.0
2016;Segurança Viária;4;5.8;1;5;20.0
2016;Transporte Escolar e Fretamento;7;5.8;2;5;40.0
2016;Transporte Individual: Táxis;5;7.6;2;5;40.0
2016;Transporte Público Coletivo;22;15.1;3;5;60.0
2017;Composição e Governança do Conselho;141;17.4;10;10;100.0
2017;Estrutura e Organização da Rede Viária;106;14.1;9;10;90.0
2017;Mobilidade Ativa: Acessibilidade e Pedestres;98;13.2;7;10;70.0
2017;Mobilidade Ativa: Bicicletas;98;19.4;4;10;40.0
2017;Mobilidade Urbana: Organização Geral e Prestação de Contas;18;20.0;2;10;20.0
2017;Motocicletas e Motofrete;14;7.6;3;10;30.0
2017;Segurança Viária;83;13.5;5;10;50.0
2017;Transporte Escolar e Fretamento;14;10.2;2;10;20.0
2017;Transporte Individual: Aplicativos;4;7.2;2;10;20.0
2017;Transporte Individual: Táxis;20;7.5;2;10;20.0
2017;Transporte Público Coletivo;191;25.0;10;10;100.0
2018;Composição e Governança do Conselho;32;15.8;10;11;90.9
2018;Estrutura e Organização da Rede Viária;42;20.2;6;11;54.5
2018;Mobilidade Ativa: Acessibilidade e Pedestres;34;15.5;7;11;63.6
2018;Mobilidade Ativa: Bicicletas;35;20.1;4;11;36.4
2018;Motocicletas e Motofrete;15;13.5;4;11;36.4
2018;Segurança Viária;28;12.2;8;11;72.7
2018;Transporte Escolar e Fretamento;3;17.6;1;11;9.1
2018;Transporte Individual: Táxis;3;9.7;1;11;9.1
2018;Transporte Público Coletivo;69;29.9;10;11;90.9
2019;Composição e Governança do Conselho;77;25.0;9;9;100.0
2019;Estrutura e Organização da Rede Viária;34;17.0;5;9;55.6
2019;Logística Urbana e Transporte de Cargas;9;9.3;1;9;11.1
2019;Mobilidade Ativa: Acessibilidade e Pedestres;13;11.1;4;9;44.4
2019;Mobilidade Ativa: Bicicletas;10;11.1;2;9;22.2
2019;Mobilidade Urbana: Organização Geral e Prestação de Contas;43;25.8;2;9;22.2
2019;Motocicletas e Motofrete;6;9.7;2;9;22.2
2019;Segurança Viária;35;15.7;4;9;44.4
2019;Transporte Individual: Aplicativos;8;9.4;3;9;33.3
2019;Transporte Público Coletivo;83;27.8;8;9;88.9
2020;Composição e Governança do Conselho;194;20.0;7;7;100.0
2020;Estrutura e Organização da Rede Viária;63;11.6;5;7;71.4
2020;Mobilidade Ativa: Acessibilidade e Pedestres;61;9.6;4;7;57.1
2020;Mobilidade Ativa: Bicicletas;91;13.4;4;7;57.1
2020;Mobilidade Urbana: Organização Geral e Prestação de Contas;66;17.6;2;7;28.6
2020;Motocicletas e Motofrete;11;5.9;1;7;14.3
2020;Segurança Viária;124;13.7;5;7;71.4
2020;Transporte Individual: Aplicativos;2;9.5;1;7;14.3
2020;Transporte Público Coletivo;268;35.5;6;7;85.7
2021;Composição e Governança do Conselho;179;16.6;6;6;100.0
2021;Estrutura e Organização da Rede Viária;93;10.7;5;6;83.3
2021;Mobilidade Ativa: Acessibilidade e Pedestres;99;22.5;2;6;33.3
2021;Mobilidade Ativa: Bicicletas;61;14.1;3;6;50.0
2021;Mobilidade Urbana: Organização Geral e Prestação de Contas;80;31.4;2;6;33.3
2021;Motocicletas e Motofrete;31;7.4;3;6;50.0
2021;Segurança Viária;57;11.7;3;6;50.0
2021;Transporte Escolar e Fretamento;9;6.0;1;6;16.7
2021;Transporte Individual: Táxis;11;5.8;1;6;16.7
2021;Transporte Público Coletivo;302;27.8;6;6;100.0
2022;Composição e Governança do Conselho;203;16.6;5;6;83.3
2022;Estrutura e Organização da Rede Viária;133;11.6;5;6;83.3
2022;Mobilidade Ativa: Acessibilidade e Pedestres;67;12.0;2;6;33.3
2022;Mobilidade Ativa: Bicicletas;117;11.7;4;6;66.7
2022;Mobilidade Urbana: Organização Geral e Prestação de Contas;99;9.4;4;6;66.7
2022;Motocicletas e Motofrete;153;12.6;5;6;83.3
2022;Segurança Viária;129;11.4;5;6;83.3
2022;Transporte Escolar e Fretamento;8;5.4;1;6;16.7
2022;Transporte Individual: Aplicativos;17;10.4;1;6;16.7
2022;Transporte Individual: Táxis;62;9.7;3;6;50.0
2022;Transporte Público Coletivo;319;22.0;6;6;100.0
2023;Composição e Governança do Conselho;76;15.0;2;6;33.3
2023;Estrutura e Organização da Rede Viária;337;12.8;6;6;100.0
2023;Mobilidade Ativa: Acessibilidade e Pedestres;185;16.4;3;6;50.0
2023;Mobilidade Ativa: Bicicletas;244;12.8;4;6;66.7
2023;Mobilidade Urbana: Organização Geral e Prestação de Contas;93;10.1;3;6;50.0
2023;Motocicletas e Motofrete;128;15.8;2;6;33.3
2023;Segurança Viária;301;14.6;5;6;83.3
2023;Transporte Individual: Aplicativos;26;6.6;1;6;16.7
2023;Transporte Individual: Táxis;92;12.6;2;6;33.3
2023;Transporte Público Coletivo;573;25.3;6;6;100.0
2024;Composição e Governança do Conselho;253;16.0;4;8;50.0
2024;Estrutura e Organização da Rede Viária;477;19.8;7;8;87.5
2024;Logística Urbana e Transporte de Cargas;30;11.4;1;8;12.5
2024;Mobilidade Ativa: Acessibilidade e Pedestres;155;12.0;4;8;50.0
2024;Mobilidade Ativa: Bicicletas;448;23.3;6;8;75.0
2024;Mobilidade Urbana: Organização Geral e Prestação de Contas;165;16.2;3;8;37.5
2024;Motocicletas e Motofrete;129;8.8;4;8;50.0
2024;Segurança Viária;243;11.9;6;8;75.0
2024;Transporte Individual: Táxis;25;5.7;1;8;12.5
2024;Transporte Público Coletivo;522;21.0;7;8;87.5
