Tema;Palavra;Vezes_Ativada
Composição e Governança do Conselho;Conselho;79
Composição e Governança do Conselho;Conselheiro;70
Composição e Governança do Conselho;Representante;43
Composição e Governança do Conselho;Eleição;34
Composição e Governança do Conselho;Mandato;17
Composição e Governança do Conselho;Regimento Interno;10
Composição e Governança do Conselho;Posse;5
Estrutura e Organização da Rede Viária;CET;65
Estrutura e Organização da Rede Viária;Corredor;49
Estrutura e Organização da Rede Viária;Via;45
Estrutura e Organização da Rede Viária;Semáforo;31
Estrutura e Organização da Rede Viária;Faixa Exclusiva;18
Estrutura e Organização da Rede Viária;Asfalto;17
Estrutura e Organização da Rede Viária;Recapeamento;12
Estrutura e Organização da Rede Viária;Engenharia de Tráfego;9
Estrutura e Organização da Rede Viária;Rodizio;4
Logística Urbana e Transporte de Cargas;Carga;3
Logística Urbana e Transporte de Cargas;Logística;2
Logística Urbana e Transporte de Cargas;Restricao;2
Logística Urbana e Transporte de Cargas;Caminhão;1
Mobilidade Ativa: Acessibilidade e Pedestres;Pedestre;43
Mobilidade Ativa: Acessibilidade e Pedestres;Calçada;37
Mobilidade Ativa: Acessibilidade e Pedestres;Acessibilidade;26
Mobilidade Ativa: Acessibilidade e Pedestres;Cadeirante;16
Mobilidade Ativa: Acessibilidade e Pedestres;Travessia;16
Mobilidade Ativa: Bicicletas;Ciclovia;42
Mobilidade Ativa: Bicicletas;Bicicleta;40
Mobilidade Ativa: Bicicletas;Ciclista;34
Mobilidade Ativa: Bicicletas;Ciclofaixa;23
Mobilidade Ativa: Bicicletas;Bike;14
Mobilidade Ativa: Bicicletas;Cicloativismo;2
Mobilidade Urbana: Organização Geral e Prestação de Contas;Tarifa;26
Mobilidade Urbana: Organização Geral e Prestação de Contas;Orçamento;22
Mobilidade Urbana: Organização Geral e Prestação de Contas;Custos;17
Mobilidade Urbana: Organização Geral e Prestação de Contas;Plano de Mobilidade;14
Mobilidade Urbana: Organização Geral e Prestação de Contas;Subsidio;12
Mobilidade Urbana: Organização Geral e Prestação de Contas;Plano Diretor;11
Mobilidade Urbana: Organização Geral e Prestação de Contas;PlanMob;8
Mobilidade Urbana: Organização Geral e Prestação de Contas;Prestação de Contas;3
Motocicletas e Motofrete;Moto;32
Motocicletas e Motofrete;Faixa Azul;11
Motocicletas e Motofrete;Entregador;3
Segurança Viária;Segurança;51
Segurança Viária;Acidente;44
Segurança Viária;Velocidade;42
Segurança Viária;Morte;30
Segurança Viária;Atropelamento;15
Segurança Viária;Sinistro;15
Segurança Viária;Visão Zero;9
Transporte Escolar e Fretamento;Escolar;10
Transporte Escolar e Fretamento;TEG;3
Transporte Escolar e Fretamento;Van;3
Transporte Escolar e Fretamento;Fretamento;2
Transporte Escolar e Fretamento;Fretado;1
Transporte Individual: Aplicativos;Aplicativo;8
Transporte Individual: Aplicativos;99;3
Transporte Individual: Aplicativos;Uber;3
Transporte Individual: Aplicativos;App;2
Transporte Individual: Táxis;Taxi;17
Transporte Individual: Táxis;Taxista;14
Transporte Individual: Táxis;DTP;9
Transporte Individual: Táxis;Alvara;5
Transporte Público Coletivo;Ônibus;79
Transporte Público Coletivo;SPTrans;77
Transporte Público Coletivo;Transporte Coletivo;50
Transporte Público Coletivo;Frota;42
Transporte Público Coletivo;Metro;34
Transporte Público Coletivo;Terminal;29
Transporte Público Coletivo;Bilhete Único;22
Transporte Público Coletivo;EMTU;3
